,title,price,mileage,year,location
69,Honda Pcx,"Rp 28,600,000",5 - 10K KM,2019,Kelapa Dua
70,Yamaha Lexi,"Rp 18,000,000",5 - 10K KM,2019,Kelapa Dua
71,Honda Beat,"Rp 16,100,000",5 - 10K KM,2021,Kelapa Dua
72,Honda New Pcx 150 Abs,"Rp 30,100,000",5 - 10K KM,2020,Kelapa Dua
73,Honda Crf 150l,"Rp 29,900,000",5 - 10K KM,2019,Kelapa Dua
74,Yamaha Aerox 155 Vva,"Rp 23,200,000",5 - 10K KM,2021,Kelapa Dua
75,Honda Beat,"Rp 16,100,000",5 - 10K KM,2021,Kelapa Dua
76,Honda Cbr 150 Rcr,"Rp 20,100,000",5 - 10K KM,2017,Kelapa Dua
77,Yamaha Aerox 155 Vva-s,"Rp 20,500,000",10 - 20K KM,2018,Pancoran Mas
78,Honda Beat,"Rp 7,500,000",10 - 30K KM,2011,Pancoran Mas
79,Yamaha Mio J,"Rp 6,500,000",10 - 30K KM,2012,Pancoran Mas
80,Honda Cb Verza 150,"Rp 17,800,000",5 - 10K KM,2018,Kelapa Dua
81,Yamaha Aerox 155 Vva,"Rp 23,200,000",5 - 10K KM,2021,Kelapa Dua
82,Honda Beat,"Rp 16,100,000",5 - 10K KM,2021,Kelapa Dua
83,Honda Cb Verza 150,"Rp 17,800,000",5 - 10K KM,2018,Kelapa Dua
84,Honda Cbr 150 Rcr,"Rp 20,100,000",5 - 10K KM,2019,Kelapa Dua
85,Honda Crf 150l,"Rp 29,900,000",5 - 10K KM,2019,Kelapa Dua
86,Yamaha Nmax Abs,"Rp 21,700,000",5 - 10K KM,2017,Kelapa Dua
87,Yamaha Nmax Abs,"Rp 28,400,000",5 - 10K KM,2021,Kelapa Dua
88,Yamaha Lexi,"Rp 18,000,000",5 - 10K KM,2019,Kelapa Dua
89,Honda Beat,"Rp 16,100,000",5 - 10K KM,2021,Kelapa Dua
90,Honda Cb Verza 150,"Rp 17,800,000",5 - 10K KM,2018,Kelapa Dua
91,Honda Cbr 150 Rcr,"Rp 20,100,000",5 - 10K KM,2017,Kelapa Dua
92,Yamaha Lexi,"Rp 18,000,000",5 - 10K KM,2019,Kelapa Dua
93,Honda Vario 150 Esp Exclusive,"Rp 19,300,000",10 - 30K KM,2017,Merbung
94,Yamaha Nmax Abs,"Rp 28,400,000",5 - 10K KM,2021,Kelapa Dua
95,Yamaha Nmax Abs,"Rp 28,400,000",5 - 10K KM,2021,Kelapa Dua
96,Honda Pcx,"Rp 29,000,000",5 - 10K KM,2019,Kelapa Dua
97,Honda Pcx,"Rp 31,000,000",5 - 10K KM,2020,Kelapa Dua
98,Honda Scoopy,"Rp 17,900,000",5 - 10K KM,2019,Kelapa Dua
99,Honda Vario Std,"Rp 16,500,000",5 - 10K KM,2019,Kelapa Dua
100,Yamaha Nmax Abs,"Rp 28,400,000",5 - 10K KM,2021,Kelapa Dua
101,Yamaha Aerox 155 Vva,"Rp 23,200,000",5 - 10K KM,2021,Kelapa Dua
102,Yamaha Lexi,"Rp 18,000,000",5 - 10K KM,2019,Kelapa Dua
103,Honda Beat,"Rp 16,100,000",5 - 10K KM,2021,Kelapa Dua
104,Honda Scoopy,"Rp 16,900,000",5 - 10K KM,2018,Kelapa Dua
105,Yamaha Nmax Abs,"Rp 21,700,000",5 - 10K KM,2017,Kelapa Dua
106,Honda Crf 150l,"Rp 29,900,000",5 - 10K KM,2019,Kelapa Dua
107,Yamaha Aerox 155 Vva,"Rp 23,200,000",5 - 10K KM,2021,Kelapa Dua
108,Yamaha Aerox 155 Vva,"Rp 23,200,000",5 - 10K KM,2021,Kelapa Dua
109,Honda Beat,"Rp 16,100,000",5 - 10K KM,2021,Kelapa Dua
110,Honda Cbr 150 Rcr,"Rp 20,100,000",5 - 10K KM,2017,Kelapa Dua
111,Honda Crf 150l,"Rp 29,900,000",5 - 10K KM,2019,Kelapa Dua
112,Yamaha Lexi,"Rp 18,000,000",5 - 10K KM,2019,Kelapa Dua
113,Yamaha Nmax Abs,"Rp 21,700,000",5 - 10K KM,2017,Kelapa Dua
114,Honda Pcx,"Rp 28,600,000",5 - 10K KM,2019,Kelapa Dua
115,Honda Scoopy,"Rp 16,900,000",5 - 10K KM,2018,Kelapa Dua
116,Honda Scoopy,"Rp 17,900,000",5 - 10K KM,2019,Kelapa Dua
