,title,price,mileage,year,location
1350,YAMAHA AEROX 155 GP,"Rp 19,500,000",30K+ KM,2017,Sesetan
1351,YAMAHA MIO SOUL GT STREET,"Rp 8,500,000",30K+ KM,2013,Sesetan
1352,YAMAHA NEW JUPITER MX CW,"Rp 8,700,000",30K+ KM,2011,Sesetan
1353,HONDA CB VERZA 150,"Rp 20,000,000",30K+ KM,2018,Sesetan
1354,HONDA NEW VARIO 125 ESP CBS,"Rp 17,500,000",30K+ KM,2019,Sukasari
1355,HONDA BEAT CW,"Rp 9,000,000",30K+ KM,2012,Sesetan
1356,YAMAHA MIO FINO,"Rp 9,500,000",30K+ KM,2014,Sesetan
1357,HONDA VARIO CW,"Rp 7,800,000",30K+ KM,2011,Sesetan
1358,HONDA SCOOPY ESP,"Rp 13,500,000",30K+ KM,2016,Sesetan
1359,HONDA VARIO 150 ESP EXCLUSIVE,"Rp 19,000,000",30K+ KM,2019,Sukasari
1360,HONDA NEW BEAT STREET ESP,"Rp 14,000,000",30K+ KM,2019,Sukasari
1361,HONDA NEW BEAT ESP CBS ISS PIXEL,"Rp 14,000,000",30K+ KM,2019,Sukasari
1362,HONDA SUPRA X 125 INJEKSI,"Rp 13,500,000",30K+ KM,2019,Sukasari
1363,HONDA CB VERZA 150,"Rp 13,500,000",30K+ KM,2019,Sukasari
1364,HONDA CBR 150 R,"Rp 24,500,000",30K+ KM,2018,Sukasari
1365,YAMAHA NMAX ABS,"Rp 25,000,000",30K+ KM,2018,Kediri
1366,YAMAHA XABRE,"Rp 19,000,000",30K+ KM,2016,Babakan Ciparay
1367,HONDA CBR 150 REPSOL,"Rp 20,000,000",30K+ KM,2015,Babakan Ciparay
1368,HONDA VARIO CW,"Rp 15,500,000",30K+ KM,2015,Sesetan
1369,YAMAHA MIO J,"Rp 7,500,000",30K+ KM,2013,Sesetan
1370,HONDA SUPRA X 125 CW,"Rp 14,000,000",30K+ KM,2017,Regol
1371,HONDA REVO,"Rp 7,500,000",30K+ KM,2017,Regol
1372,HONDA CB150R,"Rp 18,500,000",30K+ KM,2017,Sesetan
1373,HONDA BEAT CW,"Rp 10,000,000",30K+ KM,2013,Regol
1374,HONDA BEAT CW,"Rp 12,500,000",30K+ KM,2017,Regol
1375,HONDA SUPRA X 125 CW,"Rp 11,500,000",30K+ KM,2015,Regol
1376,YAMAHA MIO M3 125,"Rp 10,500,000",30K+ KM,2017,Selapajang Jaya
1377,YAMAHA X-RIDE,"Rp 12,000,000",30K+ KM,2017,Selapajang Jaya
1378,YAMAHA X-RIDE,"Rp 13,000,000",30K+ KM,2018,Selapajang Jaya
1379,SUZUKI SATRIA FU 150,"Rp 16,500,000",30K+ KM,2018,Selapajang Jaya
1380,SUZUKI SATRIA FU 150,"Rp 14,000,000",30K+ KM,2016,Selapajang Jaya
1381,SUZUKI SATRIA FU 150,"Rp 165,000,000",30K+ KM,2017,Selapajang Jaya
1382,YAMAHA MIO M3 125,"Rp 11,500,000",30K+ KM,2018,Selapajang Jaya
1383,HONDA VARIO STD,"Rp 12,000,000",30K+ KM,2015,Kediri
1384,YAMAHA X-RIDE,"Rp 9,000,000",30K+ KM,2015,Cikutra
1385,HONDA NEW BEAT ESP CBS ISS PIXEL,"Rp 13,300,000",30K+ KM,2018,Purwamekar
1386,HONDA VARIO 150 ESP EXCLUSIVE,"Rp 19,500,000",30K+ KM,2019,Lopang
1387,KAWASAKI NINJA 250 FI,"Rp 53,000,000",30K+ KM,2017,Lopang
1388,YAMAHA VIXION,"Rp 14,500,000",30K+ KM,2015,Mauk Timur
1389,HONDA SCOOPY ESP,"Rp 15,500,000",30K+ KM,2016,Mauk Timur
1390,KAWASAKI NINJA SS,"Rp 25,000,000",30K+ KM,2015,Mauk Timur
1391,HONDA BEAT,"Rp 11,000,000",30K+ KM,2015,Mauk Timur
1392,YAMAHA MIO Z 125,"Rp 11,500,000",30K+ KM,2018,Mauk Timur
1393,YAMAHA MIO M3 125,"Rp 12,000,000",30K+ KM,2018,Mauk Timur
1394,YAMAHA MIO CW AERO,"Rp 20,000,000",30K+ KM,2018,Mauk Timur
1395,YAMAHA MIO M3 125,"Rp 12,000,000",30K+ KM,2018,Mauk Timur
1396,YAMAHA NMAX SPECIAL CUSTOM,"Rp 25,500,000",30K+ KM,2018,Unyur
1397,HONDA CB150R ,"Rp 19,500,000",30K+ KM,2018,Kubang Jaya
1398,YAMAHA MIO M3 125,"Rp 12,000,000",30K+ KM,2018,Mauk Timur
1399,HONDA BEAT CBS FI,"Rp 13,000,000",30K+ KM,2017,Mauk Timur
1400,YAMAHA AEROX 155 VVA,"Rp 18,700,000",30K+ KM,2018,Margahayu Utara
1401,YAMAHA FINO SPORTY ,"Rp 13,000,000",30K+ KM,2018,Cangkuang Kulon(barat)
1402,HONDA NEW BEAT STREET ESP,"Rp 14,600,000",30K+ KM,2019,Jatiasih
1403,YAMAHA AEROX 155 VVA,"Rp 21,000,000",30K+ KM,2018,Babakan Asem
1404,KAWASAKI NINJA RR,"Rp 29,000,000",30K+ KM,2014,Babakan Asem
1405,HONDA CB150R,"Rp 16,500,000",30K+ KM,2016,Babakan Asem
1406,HONDA CB150R,"Rp 16,500,000",30K+ KM,2016,Babakan Asem
1407,HONDA BEAT CBS FI,"Rp 14,000,000",30K+ KM,2018,Babakan Asem
1408,HONDA BEAT FI POP CBS ESP,"Rp 12,500,000",30K+ KM,2016,Babakan Asem
1409,SUZUKI SATRIA FU 150,"Rp 12,500,000",30K+ KM,2014,Babakan Asem
1410,YAMAHA N MAX,"Rp 23,500,000",30K+ KM,2018,Sudimara Pinang
1411,YAMAHA FINO FI PREMIUM,"Rp 13,000,000",30K+ KM,2019,Purwamekar
1412,HONDA BEAT FI POP CBS ESP,"Rp 12,000,000",30K+ KM,2015,Kasemen
1413,HONDA BEAT,"Rp 14,500,000",30K+ KM,2018,Kasemen
1414,YAMAHA MIO GT 125,"Rp 11,000,000",30K+ KM,2014,Kecandran
1415,HONDA BEAT FI CW ESP PLUS,"Rp 14,500,000",30K+ KM,2017,Kopeng
1416,KAWASAKI NINJA 250 FI,"Rp 53,200,000",30K+ KM,2017,Malakasari
1417,HONDA NEW VARIO TECHNO CBS,"Rp 13,900,000",30K+ KM,2018,Malakasari
1418,YAMAHA JUPITER MX KING 150,"Rp 13,900,000",30K+ KM,2017,Malakasari
1419,KAWASAKI NINJA RR,"Rp 24,500,000",30K+ KM,2013,Adiarsa Timur
1420,HONDA BEAT CW FI,"Rp 9,500,000",30K+ KM,2015,Adiarsa Timur
1421,HONDA BEAT CW FI,"Rp 10,500,000",30K+ KM,2016,Adiarsa Timur
1422,HONDA SONIC,"Rp 12,500,000",30K+ KM,2015,Margahayu Utara
1423,HONDA PCX,"Rp 27,500,000",30K+ KM,2018,Talagasari
1424,YAMAHA NMAX SPECIAL CUSTOM,"Rp 22,000,000",30K+ KM,2017,Talagasari
1425,HONDA BEAT,"Rp 13,800,000",30K+ KM,2018,Limbungan
1426,YAMAHA AEROX 155 VVA,"Rp 21,000,000",30K+ KM,2018,Tigaraksa
1427,HONDA BEAT CBS FI,"Rp 12,500,000",30K+ KM,2016,Tigaraksa
1428,YAMAHA MIO M3 125,"Rp 11,500,000",30K+ KM,2018,Tigaraksa
1429,YAMAHA MIO M3 125,"Rp 9,000,000",30K+ KM,2015,Tigaraksa
1430,KAWASAKI NINJA 250,"Rp 33,000,000",30K+ KM,2013,Sanur Kauh
1431,YAMAHA MIO M3 125,"Rp 9,000,000",30K+ KM,2015,Tigaraksa
1432,YAMAHA FINO SPORTY ,"Rp 13,500,000",30K+ KM,2018,Tigaraksa
1433,YAMAHA N MAX,"Rp 28,500,000",30K+ KM,2018,Dangin Puri
1434,HONDA SCOOPY,"Rp 17,500,000",30K+ KM,2018,Limbungan
1435,YAMAHA NEW MIO M3 CW,"Rp 11,600,000",30K+ KM,2019,Cangkuang Kulon(barat)
1436,KAWASAKI NINJA RR,"Rp 25,500,000",30K+ KM,2013,Bojongmalaka
1437,YAMAHA NMAX,"Rp 20,000,000",30K+ KM,2017,Air Saga
1438,HONDA BEAT CW FI,"Rp 10,500,000",30K+ KM,2016,Cicadas
1439,YAMAHA NEW JUPITER MX CW,"Rp 10,000,000",30K+ KM,2014,Pedungan
1440,HONDA VARIO 150 ESP SPORTY,"Rp 15,000,000",10 - 30K KM,2017,Karuwisi
1441,YAMAHA FINO PREMIUM FI SE,"Rp 15,500,000",1 - 5K KM,2018,Karuwisi
1442,YAMAHA FINO SPORT 125 BLU CR,"Rp 15,500,000",30K+ KM,2018,Karuwisi
1443,HONDA REVO FIT,"Rp 107,500,000",30K+ KM,2017,Sario Tumpaan
1444,HONDA NEW BEAT STREET ESP,"Rp 14,500,000",30K+ KM,2018,Unyur
1445,HONDA SCOOPY ESP,"Rp 19,500,000",30K+ KM,2019,Pemecutan Klod
1446,YAMAHA R15,"Rp 18,500,000",0 - 1K KM,2015,Karuwisi
1447,HONDA VARIO 125 ESP CBS,"Rp 17,500,000",30K+ KM,2019,Cicadas
1448,HONDA NEW BEAT STREET ESP,"Rp 14,700,000",30K+ KM,2019,Cicadas
1449,HONDA VARIO 125 ESP CBS,"Rp 17,500,000",30K+ KM,2018,Babakan Ciparay
1450,YAMAHA MIO FINO,"Rp 9,200,000",30K+ KM,2016,Renon
1451,HONDA BEAT CBS FI,"Rp 14,000,000",30K+ KM,2018,Babakan Asem
1452,HONDA SONIC 150 R,"Rp 14,500,000",30K+ KM,2017,Babakan Ciparay
1453,HONDA SCOOPY,"Rp 14,000,000",30K+ KM,2015,Kediri
1454,HONDA BEAT FI POP CBS ESP,"Rp 10,500,000",30K+ KM,2015,Babakan Asem
1455,HONDA BEAT FI POP CW ESP,"Rp 12,000,000",30K+ KM,2016,Babakan Asem
1456,HONDA BEAT CBS FI,"Rp 13,000,000",30K+ KM,2016,Babakan Asem
1457,KAWASAKI NINJA RR,"Rp 29,000,000",30K+ KM,2018,Margahayu Selatan
1458,YAMAHA R15,"Rp 18,500,000",30K+ KM,8,Margahayu Selatan
1459,YAMAHA LEXI,"Rp 195,000,000",30K+ KM,2018,Teluk Dalam
1460,YAMAHA JUPITER MX SE,"Rp 7,500,000",30K+ KM,2011,Dangin Tukadaya
1461,HONDA SCOOPY ESP,"Rp 13,700,000",30K+ KM,2015,Kerobokan Kaja
1462,HONDA BEAT FI POP CBS ESP,"Rp 12,500,000",30K+ KM,2017,Selapajang Jaya
1463,HONDA VARIO 150 ESP EXCLUSIVE,"Rp 15,500,000",30K+ KM,2016,Drangong
1464,YAMAHA AEROX 155 GP,"Rp 20,000,000",30K+ KM,2017,Surgi Mufti
1465,YAMAHA MIO M3 125,"Rp 9,000,000",30K+ KM,2015,Selapajang Jaya
1466,YAMAHA R15,"Rp 19,500,000",30K+ KM,2015,Pedungan
1467,HONDA CBR 150 REPSOL,"Rp 23,500,000",30K+ KM,2016,Pedungan
1468,YAMAHA N MAX,"Rp 25,500,000",30K+ KM,2017,Pedungan
1469,HONDA CBR 150 R,"Rp 17,000,000",30K+ KM,2013,Pedungan
1470,HONDA BEAT CW FI,"Rp 13,000,000",10 - 20K KM,2017,Serdang
1471,YAMAHA XABRE,"Rp 17,000,000",30K+ KM,2016,Samplangan
1472,YAMAHA X-RIDE,"Rp 12,500,000",30K+ KM,2018,Sukamenak
1473,YAMAHA R15,"Rp 230,000,000",30K+ KM,2017,Sukamenak
1474,YAMAHA XMAX,"Rp 50,500,000",30K+ KM,2018,Sukamenak
1475,SUZUKI SATRIA F 150,"Rp 10,300,000",30K+ KM,2013,Sukamenak
1476,HONDA SONIC 150 R,"Rp 13,000,000",30K+ KM,2016,Ciseureuh
1477,HONDA VARIO110 CBS,"Rp 14,000,000",30K+ KM,2018,Bringin
1478,YAMAHA MIO M3 125,"Rp 9,500,000",30K+ KM,2016,Asemrowo
1479,HONDA VARIO 150 ESP SPORTY,"Rp 14,700,000",30K+ KM,2016,Cakung Barat
1480,YAMAHA FINO SPORTY ,"Rp 12,500,000",30K+ KM,2018,Cigoong
1481,HONDA REVO FIT,"Rp 10,000,000",30K+ KM,2017,Marpoyan Damai
1482,HONDA BEAT,"Rp 13,500,000",30K+ KM,2017,Cigoong
1483,YAMAHA AEROX 155 VVA,"Rp 21,000,000",30K+ KM,2019,Lawang Gintung
1484,KAWASAKI NINJA 250 FI,"Rp 53,000,000",30K+ KM,2017,Cigoong
1485,HONDA PCX,"Rp 28,750,000",30K+ KM,2019,Sari Harjo
1486,KAWASAKI NINJA R,"Rp 240,000,000",30K+ KM,2015,Kecandran
1487,YAMAHA SOUL GT,"Rp 9,000,000",30K+ KM,2015,Kecandran
1488,HONDA BEAT,"Rp 12,750,000",30K+ KM,2014,Kecandran
1489,HONDA VARIO 125 ESP CBS,"Rp 18,500,000",30K+ KM,2018,Buruan
1490,HONDA VARIO CW,"Rp 12,300,000",30K+ KM,2015,Sari Harjo
1491,HONDA VARIO CW,"Rp 15,350,000",30K+ KM,2017,Sari Harjo
1492,HONDA CBR 150 R,"Rp 28,500,000",30K+ KM,2018,Pangkal Lalang
1493,KAWASAKI NINJA RR,"Rp 31,000,000",30K+ KM,2015,Cikupa
1494,YAMAHA R15 GP MOVISTAR,"Rp 21,000,000",30K+ KM,2016,Margahayu Utara
1495,YAMAHA XABRE,"Rp 21,600,000",30K+ KM,2018,Margahayu Utara
1496,YAMAHA FINO PREMIUM FI SE,"Rp 13,700,000",30K+ KM,2019,Cisalak Pasar
1497,YAMAHA ALL NEW R15 155 VVA,"Rp 24,000,000",30K+ KM,2017,Ciluar
1498,HONDA SCOOPY,"Rp 14,000,000",30K+ KM,2016,Cakung Timur
1499,HONDA CBR 150 R,"Rp 26,000,000",30K+ KM,2018,Ciluar
1500,HONDA VARIO 150 ESP SPORTY,"Rp 17,600,000",30K+ KM,2017,Sukmajaya
1501,HONDA CB VERZA 150,"Rp 11,500,000",30K+ KM,2015,Pawenang
1502,HONDA NEW SUPRA X 125 FI CW,"Rp 7,750,000",30K+ KM,2011,Lamper Lor
1503,HONDA VARIO 125 ESP CBS,"Rp 12,300,000",30K+ KM,2013,Gianyar
1504,HONDA VARIO 125 ESP CBS,"Rp 16,000,000",30K+ KM,2016,Gianyar
1505,YAMAHA VIXION,"Rp 14,000,000",30K+ KM,2014,Mauk Timur
1506,YAMAHA VIXION,"Rp 14,000,000",30K+ KM,2014,Mauk Timur
1507,YAMAHA VIXION,"Rp 13,500,000",30K+ KM,2013,Mauk Timur
1508,HONDA CB150R,"Rp 14,500,000",30K+ KM,2013,Mauk Timur
1509,YAMAHA MIO M3 125,"Rp 9,000,000",30K+ KM,2016,Mauk Timur
1510,SUZUKI SATRIA FU 150,"Rp 12,000,000",30K+ KM,2014,Mauk Timur
1511,KAWASAKI KLX 150 L,"Rp 25,000,000",30K+ KM,2013,Salatiga
1512,YAMAHA AEROX 155 VVA,"Rp 17,500,000",30K+ KM,2017,Gianyar
1513,HONDA BEAT CW FI,"Rp 14,000,000",30K+ KM,2018,Salatiga
1514,HONDA CB VERZA 150,"Rp 17,500,000",30K+ KM,2018,Cigoong
1515,YAMAHA AEROX 155 VVA,"Rp 24,000,000",30K+ KM,2018,Cigoong
1516,HONDA BEAT,"Rp 11,300,000",30K+ KM,2014,Marpoyan Damai
1517,HONDA NEW BEAT STREET ESP,"Rp 14,200,000",30K+ KM,2018,Marpoyan Damai
1518,HONDA BEAT,"Rp 12,400,000",30K+ KM,2016,Marpoyan Damai
1519,YAMAHA VIXION EXTREME,"Rp 17,600,000",30K+ KM,2019,Sukmajaya
1520,YAMAHA AEROX 155 VVA,"Rp 19,400,000",30K+ KM,2017,Sukmajaya
1521,HONDA BEAT,"Rp 14,500,000",30K+ KM,2019,Marpoyan Damai
1522,HONDA NEW BEAT STREET ESP,"Rp 12,700,000",30K+ KM,2018,Sukmajaya
1523,HONDA BEAT CW FI,"Rp 10,500,000",30K+ KM,2015,Ploso
1524,HONDA CB 150,"Rp 18,000,000",30K+ KM,2015,Aik Rayak
1525,YAMAHA AEROX 155 VVA,"Rp 21,500,000",30K+ KM,2018,Cikalong
1526,YAMAHA MIO FINO,"Rp 12,500,000",30K+ KM,2017,Sukamenak
1527,YAMAHA MIO M3 125,"Rp 11,500,000",30K+ KM,2018,Selapajang Jaya
1528,SUZUKI SATRIA F 150,"Rp 12,250,000",30K+ KM,2014,Kalicacing
1529,YAMAHA MIO J,"Rp 8,200,000",30K+ KM,2013,Kalicacing
1530,YAMAHA FINO SPORT 125 BLU CR,"Rp 12,000,000",30K+ KM,2017,Jelambar
1531,YAMAHA NMAX ABS,"Rp 23,000,000",30K+ KM,2017,Jelambar
1532,HONDA SUPRA GTR 150 EXL,"Rp 15,700,000",30K+ KM,2018,Penjaringan
1533,HONDA BEAT,"Rp 13,500,000",30K+ KM,2017,Citerep
1534,YAMAHA VIXION,"Rp 13,000,000",30K+ KM,2014,Jambangan
1535,HONDA VARIO 150 ESP EXCLUSIVE,"Rp 19,000,000",30K+ KM,2018,Cisalak Pasar
1536,YAMAHA VIXION SE,"Rp 10,000,000",30K+ KM,2013,Cakung Timur
1537,HONDA BEAT FI POP CBS ESP,"Rp 10,500,000",30K+ KM,2015,Babakan Asem
1538,HONDA CBR 150 REPSOL,"Rp 19,500,000",30K+ KM,2015,Citerep
1539,YAMAHA NMAX SPECIAL CUSTOM,"Rp 27,000,000",30K+ KM,2019,Citerep
1540,KAWASAKI NEW NINJA 150 RR,"Rp 29,700,000",30K+ KM,2015,Citerep
1541,KAWASAKI NINJA 150 RR SE,"Rp 31,000,000",30K+ KM,2015,Citerep
1542,HONDA BEAT,"Rp 14,500,000",30K+ KM,2018,Citerep
1543,YAMAHA JUPITER Z1,"Rp 11,000,000",30K+ KM,2017,Maharatu
1544,HONDA VARIO 150 ESP SPORTY,"Rp 17,000,000",30K+ KM,2017,Jambangan
1545,YAMAHA N MAX,"Rp 23,500,000",30K+ KM,2018,Batu Ampar
1546,YAMAHA NMAX ABS,"Rp 23,500,000",30K+ KM,2016,Badung
1547,HONDA SCOOPY,"Rp 12,000,000",30K+ KM,2014,Badung
1548,HONDA SCOOPY,"Rp 13,500,000",30K+ KM,2016,Badung
1549,HONDA NEW VARIO TECHNO CBS,"Rp 11,500,000",30K+ KM,2013,Sesetan
1550,HONDA BEAT CW FI,"Rp 14,500,000",30K+ KM,2018,Pandean Lamper
1551,HONDA VARIO TECHNO 110,"Rp 12,000,000",30K+ KM,2013,Jatimulyo
1552,HONDA BEAT CW FI,"Rp 10,500,000",30K+ KM,2014,Sesetan
1553,KAWASAKI NINJA 250,"Rp 22,000,000",30K+ KM,2018,Sukamenak
1554,YAMAHA MIO SOUL GT NON LED CUSTOM,"Rp 11,900,000",30K+ KM,2019,Pelindung Hewan
1555,YAMAHA MIO Z 125,"Rp 13,000,000",30K+ KM,2018,Sungai Pinang Dalam
1556,YAMAHA LEXI,"Rp 18,000,000",30K+ KM,2018,Sungai Pinang Dalam
1557,KAWASAKI D TRACKER X,"Rp 28,000,000",30K+ KM,2017,Delima
1558,HONDA VARIO CW,"Rp 15,700,000",30K+ KM,2016,Simpang Tiga
1559,HONDA BEAT,"Rp 11,500,000",30K+ KM,2015,Kediri
1560,KAWASAKI W175,"Rp 27,600,000",30K+ KM,2018,Sukamenak
1561,HONDA BEAT FI POP CBS ESP,"Rp 9,500,000",30K+ KM,2015,Kamojing
1562,HONDA SCOOPY,"Rp 15,000,000",30K+ KM,2017,Marpoyan Damai
1563,HONDA NEW BEAT STREET ESP,"Rp 13,500,000",30K+ KM,2017,Marpoyan Damai
1564,HONDA REVO FIT,"Rp 10,000,000",30K+ KM,2017,Simpang Tiga
1565,HONDA BEAT,"Rp 9,000,000",30K+ KM,2013,Loktabat Utara
1566,HONDA NEW BEAT STREET ESP,"Rp 12,525,000",30K+ KM,2017,Sukmajaya
1567,HONDA VARIO 150 ESP SPORTY,"Rp 16,000,000",30K+ KM,2016,Sidorejo Lor
1568,HONDA BEAT,"Rp 14,500,000",30K+ KM,2019,Sidorejo Lor
1569,YAMAHA R25,"Rp 31,500,000",30K+ KM,2015,Sidorejo Lor
1570,HONDA NEW SUPRA X 125 FI CW,"Rp 8,000,000",30K+ KM,2011,Sidorejo Lor
1571,BMW S 1000 RR,"Rp 265,000,000",30K+ KM,2014,Sidorejo Lor
1572,HARLEY DAVIDSON BREAKOUT 114 ANV CST,"Rp 340,000,000",30K+ KM,2015,Sidorejo Lor
1573,SUZUKI SATRIA FU 150,"Rp 10,200,000",30K+ KM,2013,Penjaringan
1574,YAMAHA FINO CLASSIC,"Rp 12,500,000",30K+ KM,2018,Penjaringan
1575,HONDA SUPRA X 125 CC,"Rp 5,800,000",30K+ KM,2011,Cakung Barat
1576,HONDA NEW VARIO TECHNO,"Rp 12,800,000",30K+ KM,2016,Cakung Barat
1577,HONDA CBR 150 R,"Rp 26,500,000",30K+ KM,2018,Cimaung
1578,YAMAHA NEW VIXION,"Rp 15,000,000",30K+ KM,2014,Panjang Selatan
1579,YAMAHA NEW VIXION,"Rp 15,000,000",30K+ KM,2015,Gampong Bandar Bireuen
1580,YAMAHA R15,"Rp 24,000,000",30K+ KM,2018,Gempolsari
1581,HONDA CB150R,"Rp 16,600,000",30K+ KM,2016,Kalicacing
1582,HONDA VARIO CW,"Rp 8,500,000",30K+ KM,2011,Lelateng
1583,HONDA BEAT CW FI,"Rp 10,750,000",30K+ KM,2014,Kalicacing
1584,HONDA SCOOPY ESP,"Rp 145,000,000",30K+ KM,2015,Berangas
1585,SUZUKI SATRIA F 150,"Rp 9,000,000",30K+ KM,2013,Berangas
1586,YAMAHA SOUL GT,"Rp 13,500,000",30K+ KM,2015,Surgi Mufti
1587,HONDA PCX,"Rp 27,500,000",30K+ KM,2018,Pengotan
1588,YAMAHA NEW VIXION ADVANCE,"Rp 15,500,000",30K+ KM,2014,Gampong Bandar Bireuen
1589,SUZUKI SATRIA,"Rp 9,500,000",30K+ KM,2013,Sari Harjo
1590,YAMAHA VIXION,"Rp 17,750,000",30K+ KM,2018,Kalicacing
1591,HONDA BEAT CW PLUS,"Rp 12,500,000",30K+ KM,2018,Pondok Kopi
1592,HONDA SCOOPY,"Rp 17,500,000",30K+ KM,2018,Pengotan
1593,HONDA BEAT FI POP CBS ESP,"Rp 11,000,000",30K+ KM,2015,Kebonagung
1594,HONDA BEAT,"Rp 9,500,000",30K+ KM,2011,Kupang Kota
1595,HONDA SONIC 150 R,"Rp 17,000,000",30K+ KM,2017,Cicadas
1596,HONDA VARIO 125 ESP CBS,"Rp 14,400,000",30K+ KM,2016,Cicadas
1597,YAMAHA NMAX ABS,"Rp 23,000,000",30K+ KM,2016,Teluk Betung
1598,HONDA VARIO 125 ESP CBS,"Rp 10,000,000",30K+ KM,2012,Kebonagung
1599,YAMAHA NEW VIXION ADVANCE,"Rp 19,500,000",30K+ KM,2016,Mns Panton Labu
1600,HONDA BEAT CW,"Rp 14,000,000",10 - 30K KM,2018,Teluk Betung
1601,HONDA NEW BEAT STREET ESP,"Rp 12,600,000",30K+ KM,2018,Cicadas
1602,YAMAHA VIXION,"Rp 140,000,000",30K+ KM,2014,Sungai Pinang Dalam
1603,HONDA NEW SCOOPY RETRO,"Rp 19,000,000",30K+ KM,2018,Rayeuk Meunye
1604,YAMAHA NEW VIXION ADVANCE,"Rp 21,000,000",30K+ KM,2016,Rayeuk Meunye
1605,HONDA NEW VARIO TECHNO,"Rp 15,500,000",30K+ KM,2015,Rayeuk Meunye
1606,YAMAHA VIXION,"Rp 13,000,000",30K+ KM,2012,Pedungan
1607,HONDA NEW VARIO TECHNO FI,"Rp 20,000,000",30K+ KM,2019,Pedungan
1608,HONDA SCOOPY ESP,"Rp 16,500,000",10 - 30K KM,2017,Renon
1609,HONDA BEAT,"Rp 12,500,000",30K+ KM,2016,Pengotan
1610,HONDA CBR 150 R,"Rp 23,000,000",30K+ KM,2017,Ploso
1611,HONDA NEW VARIO TECHNO CBS,"Rp 22,000,000",30K+ KM,2017,Sesetan
1612,HONDA BEAT STD,"Rp 14,200,000",30K+ KM,2019,Cicadas
1613,HONDA VARIO 150 ESP EXCLUSIVE,"Rp 17,000,000",30K+ KM,2016,Sei Bangkong
1614,HONDA NEW BEAT STREET ESP,"Rp 11,300,000",30K+ KM,2018,Cicadas
1615,HONDA VARIO TECHNO 110,"Rp 12,300,000",30K+ KM,2018,Cicadas
1616,HONDA BEAT CW FI,"Rp 9,500,000",30K+ KM,2014,Ploso
1617,HONDA BEAT,"Rp 8,900,000",30K+ KM,2017,Cicadas
1618,HONDA VARIO CW,"Rp 16,000,000",30K+ KM,2018,Cicadas
1619,HONDA BEAT,"Rp 8,500,000",30K+ KM,2010,Palangka
1620,HONDA BEAT CW,"Rp 7,000,000",30K+ KM,2011,Sidodadi
1621,HONDA SCOOPY,"Rp 12,800,000",30K+ KM,2014,Lopang
1622,KAWASAKI NINJA R KR 150 L,"Rp 23,000,000",30K+ KM,2015,Lopang
1623,YAMAHA VIXION,"Rp 17,500,000",30K+ KM,2018,Lopang
1624,HONDA NEW BEAT STREET ESP,"Rp 14,700,000",30K+ KM,2018,Sungai Pinang Dalam
1625,HONDA SONIC 150 R,"Rp 13,500,000",30K+ KM,2016,Drangong
1626,SUZUKI SATRIA F 150,"Rp 11,000,000",30K+ KM,2014,Sungai Pinang Dalam
1627,SUZUKI SATRIA F 150,"Rp 14,000,000",30K+ KM,2016,Sungai Pinang Dalam
1628,YAMAHA VIXION,"Rp 14,500,000",30K+ KM,2015,Tigaraksa
1629,YAMAHA VIXION SE,"Rp 14,500,000",30K+ KM,2014,Legok
1630,HONDA SCOOPY ESP,"Rp 15,500,000",30K+ KM,2016,Tigaraksa
1631,SUZUKI SATRIA F 150,"Rp 12,000,000",30K+ KM,2013,Sungai Pinang Dalam
1632,KAWASAKI NEW NINJA 150 RR,"Rp 24,000,000",30K+ KM,2014,Legok
1633,YAMAHA MIO M3 125,"Rp 9,500,000",30K+ KM,2016,Tigaraksa
1634,YAMAHA ALL NEW VIXION,"Rp 19,000,000",30K+ KM,2018,Lawang Gintung
1635,YAMAHA MIO Z 125 ,"Rp 11,500,000",30K+ KM,2018,Tigaraksa
1636,HONDA BEAT FI CBS ISS,"Rp 12,000,000",30K+ KM,2015,Tigaraksa
1637,HONDA BEAT FI POP CBS ESP,"Rp 12,000,000",30K+ KM,2016,Tigaraksa
1638,SUZUKI SATRIA FU 150,"Rp 13,500,000",30K+ KM,2015,Tigaraksa
1639,YAMAHA FINO FI PREMIUM,"Rp 12,000,000",30K+ KM,2017,Tigaraksa
1640,HONDA BEAT FI POP CBS ESP,"Rp 10,000,000",30K+ KM,2016,Pangkal Lalang
1641,HONDA VARIO 125 ESP CBS,"Rp 14,500,000",30K+ KM,2015,Legok
1642,HONDA SCOOPY,"Rp 19,000,000",30K+ KM,2019,Kintamani
1643,HONDA VARIO 150 ESP EXCLUSIVE,"Rp 20,000,000",30K+ KM,2018,Regol
1644,HONDA BEAT CW,"Rp 13,200,000",30K+ KM,2018,Regol
1645,HONDA VARIO STD,"Rp 16,500,000",30K+ KM,2017,Kediri
1646,HONDA VARIO CW,"Rp 17,000,000",30K+ KM,2017,Tampan
1647,YAMAHA MIO J,"Rp 7,500,000",30K+ KM,2013,Jeblog
1648,HONDA SCOOPY ESP,"Rp 16,000,000",30K+ KM,2016,Dangin Tukadaya
1649,HONDA CB150R,"Rp 15,500,000",30K+ KM,2015,Tigaraksa
1650,YAMAHA VIXION ,"Rp 19,500,000",30K+ KM,2018,Tigaraksa
1651,YAMAHA JUPITER MX KING 150,"Rp 15,500,000",30K+ KM,2018,Tigaraksa
1652,YAMAHA ALL NEW X-RIDE 125,"Rp 13,500,000",30K+ KM,2017,Parang Tambung
